timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1699722950061,625,Product view-1,200,OK,Thread Group 1-6,text,true,,80347,206,30,30,https://evaly.com.bd/products/nobin-android-borderless-fhd-tv-with-voice-control-32-inch-2gb-ram-16gb-rom-9406226,105,0,0
1699722949823,910,Product view,200,OK,Thread Group 1-19,text,true,,80777,413,30,30,https://evaly.com.bd/products/nobin-android-borderless-fhd-tv-with-voice-control-32-inch-2gb-ram-16gb-rom-9406226,88,0,0
1699722949823,88,Product view-0,308,Permanent Redirect,Thread Group 1-19,text,true,,431,207,30,30,http://evaly.com.bd/products/nobin-android-borderless-fhd-tv-with-voice-control-32-inch-2gb-ram-16gb-rom-9406226/,88,0,0
1699722949911,822,Product view-1,200,OK,Thread Group 1-19,text,true,,80346,206,30,30,https://evaly.com.bd/products/nobin-android-borderless-fhd-tv-with-voice-control-32-inch-2gb-ram-16gb-rom-9406226,121,0,0
1699722939019,11881,Categories,200,OK,Thread Group 1-9,text,true,,660362,249,30,30,https://evaly.com.bd/categories,76,0,0
1699722939019,76,Categories-0,308,Permanent Redirect,Thread Group 1-9,text,true,,349,125,30,30,http://evaly.com.bd/categories/,76,0,0
1699722939096,11804,Categories-1,200,OK,Thread Group 1-9,text,true,,660013,124,30,30,https://evaly.com.bd/categories,92,0,0
1699722941734,9257,Categories,200,OK,Thread Group 1-7,text,true,,660355,249,30,30,https://evaly.com.bd/categories,93,0,0
1699722941734,94,Categories-0,308,Permanent Redirect,Thread Group 1-7,text,true,,349,125,30,30,http://evaly.com.bd/categories/,93,0,0
1699722941828,9163,Categories-1,200,OK,Thread Group 1-7,text,true,,660006,124,30,30,https://evaly.com.bd/categories,89,0,0
1699722950243,753,Product view,200,OK,Thread Group 1-29,text,true,,80776,413,30,30,https://evaly.com.bd/products/nobin-android-borderless-fhd-tv-with-voice-control-32-inch-2gb-ram-16gb-rom-9406226,87,0,0
1699722950243,88,Product view-0,308,Permanent Redirect,Thread Group 1-29,text,true,,431,207,30,30,http://evaly.com.bd/products/nobin-android-borderless-fhd-tv-with-voice-control-32-inch-2gb-ram-16gb-rom-9406226/,87,0,0
1699722950331,665,Product view-1,200,OK,Thread Group 1-29,text,true,,80345,206,30,30,https://evaly.com.bd/products/nobin-android-borderless-fhd-tv-with-voice-control-32-inch-2gb-ram-16gb-rom-9406226,109,0,0
1699722936545,14453,Categories,200,OK,Thread Group 1-3,text,true,,660362,249,30,30,https://evaly.com.bd/categories,73,0,0
1699722936545,73,Categories-0,308,Permanent Redirect,Thread Group 1-3,text,true,,349,125,30,30,http://evaly.com.bd/categories/,73,0,0
1699722936618,14380,Categories-1,200,OK,Thread Group 1-3,text,true,,660013,124,30,30,https://evaly.com.bd/categories,314,0,0
1699722950126,924,Product view,200,OK,Thread Group 1-20,text,true,,80777,413,30,30,https://evaly.com.bd/products/nobin-android-borderless-fhd-tv-with-voice-control-32-inch-2gb-ram-16gb-rom-9406226,87,0,0
